active_open_time,active_iso,breakout_open_time,quarter,half,side,entry,sl,tp1,outcome,bars_held,sl_dist_pct,tp1_rr,gross_r,fee_r,net_r,net_pnl_pct,range_high,range_low
1755478800000,2025-08-18T01:00:00.000Z,1755475200000,1,H1,SHORT,186.49,192.1812886151497,179.66045366182038,TP,26,3.051792919271643,1.2,1.2,0.05898172148684313,1.1410182785131568,3.4821515031259715,195.75,190.34
1756684800000,2025-09-01T00:00:00.000Z,1756681200000,1,H1,SHORT,200.35,203.25191479326074,196.8677022480871,TP,2,1.448422656980656,1.2,1.2,0.12427311816236242,1.0757268818376375,1.5581071883767814,205.97,201.39
1756998000000,2025-09-04T15:00:00.000Z,1756994400000,1,H1,SHORT,203.71,207.3583479674435,199.33198243906781,SL,16,1.7909518273248728,1.2,-1,0.10050521585991748,-1.1005052158599176,-1.9709518273248727,211.87,205.56
1758384000000,2025-09-20T16:00:00.000Z,1758380400000,1,H1,LONG,240.29,238.3682863217199,242.5960564139361,SL,2,0.7997476708477671,1.2,-1,0.22507098996511263,-1.2250709899651127,-0.979747670847767,239.9,235.73
1759849200000,2025-10-07T15:00:00.000Z,1759845600000,1,H1,SHORT,223.65,228.57622288181582,217.73853254182103,TP,13,2.2026482816077877,1.2,1.2,0.08171981042230304,1.1182801895776968,2.4631779379293426,237.05,226.12
1760025600000,2025-10-09T16:00:00.000Z,1760022000000,1,H1,SHORT,217.16,222.12722456062045,211.19933052725546,SL,11,2.2873570457821195,1.2,-1,0.07869344243038905,-1.0786934424303891,-2.4673570457821197,229.64,219.25
1761483600000,2025-10-26T13:00:00.000Z,1761480000000,1,H1,LONG,198.96,196.43595771415795,201.9888507430105,TP,9,1.268617956293756,1.2,1.2,0.14188668787714992,1.05811331212285,1.3423415475525131,197.84,191.33
1762444800000,2025-11-06T16:00:00.000Z,1762441200000,1,H1,SHORT,155.33,159.39869615252073,150.44756461697514,TP,22,2.619388497084089,1.2,1.2,0.06871832880093065,1.1312816711990692,2.9632661965009133,163.88,157.03
1764180000000,2025-11-26T18:00:00.000Z,1764176400000,2,H1,LONG,144.59,138.77934255419913,151.56278893496105,SL,31,4.018713220693596,1.2,-1,0.044790456575284944,-1.044790456575285,-4.1987132206935955,140.62,135.42
1764439200000,2025-11-29T18:00:00.000Z,1764435600000,2,H1,SHORT,135.61,137.21844109669095,133.67987068397088,SL,18,1.1860785315912827,1.2,-1,0.15176060876720024,-1.1517606087672003,-1.3660785315912827,138.22,136.21
1764874800000,2025-12-04T19:00:00.000Z,1764871200000,2,H1,SHORT,139.6,142.68828931978692,135.89405281625568,TP,18,2.212241633085189,1.2,1.2,0.08136543373382421,1.1186345662661759,2.4746899597022307,146.87,141.04
1764943200000,2025-12-05T14:00:00.000Z,1764939600000,2,H1,SHORT,134.67,137.5267544698372,131.24189463619535,TP,2,2.121299821665701,1.2,1.2,0.0848536346260847,1.1151463653739153,2.3655597859988364,142.75,136.05
1766498400000,2025-12-23T14:00:00.000Z,1766494800000,2,H1,SHORT,122.6,124.6309026011012,120.16291687867854,SL,2,1.6565274070972298,1.2,-1,0.1086610455274133,-1.1086610455274133,-1.8365274070972297,127.45,123.58
1766966400000,2025-12-29T00:00:00.000Z,1766962800000,2,H1,LONG,126.96,124.26597472278034,130.19283033266356,TP,1,2.121948075944905,1.2,1.2,0.08482771187501648,1.1151722881249835,2.3663376911338747,124.98,123.01
1767308400000,2026-01-01T23:00:00.000Z,1767304800000,2,H1,LONG,126.83,125.26532904512828,128.70760514584606,TP,10,1.2336757509041358,1.2,1.2,0.14590543736316586,1.054094562636834,1.3004109010849654,125.92,124.08
1768896000000,2026-01-20T08:00:00.000Z,1768892400000,2,H1,SHORT,129.03,132.0261812740365,125.4345824711562,TP,14,2.3220811237979553,1.2,1.2,0.07751667164220134,1.1224833283577986,2.606497348557542,135.1,131
1769176800000,2026-01-23T14:00:00.000Z,1769173200000,2,H1,SHORT,126.04,127.7115733708455,124.03411195498542,SL,1,1.3262245087634825,1.2,-1,0.13572362658855147,-1.1357236265885515,-1.5062245087634825,129.7,126.84
1769356800000,2026-01-25T16:00:00.000Z,1769353200000,2,H1,SHORT,122.69,126.22840777448694,118.44391067061567,TP,3,2.8840229639636004,1.2,1.2,0.062412817875978535,1.1375871821240213,3.280827556756323,127.68,125.6
1769652000000,2026-01-29T02:00:00.000Z,1769648400000,2,H1,SHORT,123.45,125.55958326044686,120.91850008746378,TP,12,1.7088564280654954,1.2,1.2,0.10533360032110382,1.0946663996788961,1.87062771367859,128.3,124.5
1770624000000,2026-02-09T08:00:00.000Z,1770620400000,3,H2,SHORT,84.5,86.97918138788944,81.52498233453267,SL,9,2.933942470875077,1.2,-1,0.06135089620428488,-1.0613508962042848,-3.1139424708750774,89.09,85.66
1770915600000,2026-02-12T17:00:00.000Z,1770912000000,3,H2,SHORT,77.86,79.72573034086429,75.62112359096285,SL,15,2.396262960267517,1.2,-1,0.07511696461723254,-1.0751169646172325,-2.5762629602675173,82.19,78.59
1771250400000,2026-02-16T14:00:00.000Z,1771246800000,3,H2,SHORT,83.98,85.54502102021583,82.10197477574101,SL,7,1.86356396786833,1.2,-1,0.09658911800376573,-1.0965891180037657,-2.04356396786833,87.85,84.4
1771765200000,2026-02-22T13:00:00.000Z,1771761600000,3,H2,SHORT,83.94,85.1597920907201,82.47624949113587,TP,10,1.4531714209198299,1.2,1.2,0.12386701073852899,1.076132989261471,1.5638057051037924,86.67,84.62
1772802000000,2026-03-06T13:00:00.000Z,1772798400000,3,H2,SHORT,85.54,88.0888708208588,82.48135501496945,TP,30,2.9797414319134847,1.2,1.2,0.060407926027464184,1.1395920739725358,3.395689718296181,89.81,87.05
1776902400000,2026-04-23T00:00:00.000Z,1776898800000,3,H2,SHORT,86.82,87.59180915085355,85.89382901897572,TP,2,0.8889762161409314,1.2,1.2,0.202480107714675,0.997519892285325,0.8867714593691209,89.29,86.93
1777478400000,2026-04-29T16:00:00.000Z,1777474800000,3,H2,SHORT,83.06,84.08025620957581,81.83569254850903,TP,2,1.2283363948661272,1.2,1.2,0.14653966189743783,1.0534603381025622,1.2940036738393599,85.53,83.53
1778054400000,2026-05-06T08:00:00.000Z,1778050800000,3,H2,LONG,88.99,86.93470502082549,91.4563539750094,TP,57,2.3095797046572706,1.2,1.2,0.07793625811528813,1.122063741884712,2.5914956455887306,87.5,84.64
1778252400000,2026-05-08T15:00:00.000Z,1778248800000,4,H2,LONG,89.55,88.39131306473038,90.94042432232354,TP,2,1.2938994252033658,1.2,1.2,0.139114367387333,1.060885632612667,1.3726793102440422,89.02,87.56
1778677200000,2026-05-13T13:00:00.000Z,1778673600000,4,H2,SHORT,92.23,94.37871616387231,89.65154060335324,TP,48,2.329736705922485,1.2,1.2,0.0772619496196361,1.122738050380364,2.615684047106976,95.97,93.55
1778774400000,2026-05-14T16:00:00.000Z,1778770800000,4,H2,LONG,93.27,91.44051391404429,95.46538330314685,SL,10,1.961494677769602,1.2,-1,0.09176675422065196,-1.091766754220652,-2.141494677769602,92.27,89.73
1778914800000,2026-05-16T07:00:00.000Z,1778911200000,4,H2,SHORT,87.42,88.71324727538551,85.86810326953739,TP,2,1.4793494342090034,1.2,1.2,0.12167510652832647,1.0783248934716734,1.5952193210508077,91.54,88.08
1779296400000,2026-05-20T17:00:00.000Z,1779292800000,4,H2,LONG,86.48,85.51493703131652,87.63807556242018,SL,3,1.115937752871743,1.2,-1,0.16129931937224082,-1.1612993193722407,-1.2959377528717428,86.24,83.79
1781017200000,2026-06-09T15:00:00.000Z,1781013600000,4,H2,SHORT,64.29,66.0550482600965,62.17194208788422,SL,44,2.7454475969769665,1.2,-1,0.06556307984104282,-1.0655630798410427,-2.9254475969769667,68.16,65.23
1783213200000,2026-07-05T01:00:00.000Z,1783209600000,4,H2,SHORT,80.82,81.89095588151837,79.53485294217795,SL,20,1.3251124492927155,1.2,-1,0.13583752842717292,-1.135837528427173,-1.5051124492927155,83.96,81.28
1784188800000,2026-07-16T08:00:00.000Z,1784185200000,4,H2,SHORT,76.1,77.12743908333864,74.86707309999362,TP,18,1.350117060891786,1.2,1.2,0.13332177276621146,1.0666782272337885,1.4401404730701395,79.01,76.51
1784898000000,2026-07-24T13:00:00.000Z,1784894400000,4,H2,SHORT,74.17,75.32302634186335,72.78636838976398,SL,50,1.5545723902701258,1.2,-1,0.11578746742615363,-1.1157874674261536,-1.7345723902701258,76.42,74.86
