phase,lookback_n,max_width_pct,atr_mult,retest_max_bars,retest_band_pct,tp1_rr,require_strong_breakout,max_hold_1h,is_n,is_wr,is_e_r_before,is_e_r_after,is_conc_pct,is_top_q,is_q1_n,is_q2_n,is_q3_n,is_q4_n,is_q1_er,is_q2_er,is_q3_er,is_q4_er,is_cluster_n,is_small_n_flag,oos_n,oos_wr,oos_e_r_before,oos_e_r_after,oos_conc_pct,oos_top_q,oos_q1_n,oos_q2_n,oos_q3_n,oos_q4_n,oos_q1_er,oos_q2_er,oos_q3_er,oos_q4_er,oos_cluster_n,oos_small_n_flag,pass_is_er,pass_oos_er,pass_wr,pass_conc_is,pass_conc_oos,pass_small_n_is,pass_small_n_oos,pass_all,reject_reason,cluster_note
combo,20,3,1.5,5,0.005,2.5,true,40,11,50.0000,0.750000,0.639380,47.7292,1,2,3,2,4,2.441369,0.038130,0.671664,0.607978,0,true,10,42.8571,0.500000,0.381071,100.0000,4,4,1,0,5,-1.118424,,,1.505692,0,false,true,true,false,true,false,false,true,false,"is_wr_not_above_baseline|oos_concentration>50%|is_small_n_pos>30%:Q1_n=2_share=47.7%",""
combo,20,3,1.5,10,0.003,2.5,true,40,7,42.8571,0.500000,0.381953,50.2428,3,0,3,2,2,,0.038130,0.671664,0.607978,0,true,9,42.8571,0.500000,0.381071,100.0000,4,3,1,1,4,-1.118424,,,1.505692,0,true,true,true,false,false,false,false,false,false,"is_wr_not_above_baseline|is_concentration>50%|oos_concentration>50%|is_small_n_pos>30%:Q3_n=2_share=50.2%;Q4_n=2_share=45.5%|oos_small_n_pos>30%:Q4_n=4_share=100.0%",""
combo,20,3,1.5,5,0.003,2.5,true,40,7,42.8571,0.500000,0.381953,50.2428,3,0,3,2,2,,0.038130,0.671664,0.607978,0,true,9,42.8571,0.500000,0.381071,100.0000,4,3,1,1,4,-1.118424,,,1.505692,0,true,true,true,false,false,false,false,false,false,"is_wr_not_above_baseline|is_concentration>50%|oos_concentration>50%|is_small_n_pos>30%:Q3_n=2_share=50.2%;Q4_n=2_share=45.5%|oos_small_n_pos>30%:Q4_n=4_share=100.0%",""
combo,20,5,1,10,0.003,2.5,true,80,15,42.8571,0.500000,0.378603,50.5502,1,3,5,3,4,1.260704,-0.436292,0.060406,1.172856,0,true,16,43.7500,0.531250,0.412593,54.1677,2,6,3,1,6,-1.118646,2.403845,2.419749,0.613678,1,true,true,true,false,false,false,false,false,false,"is_wr_not_above_baseline|is_concentration>50%|oos_concentration>50%|is_small_n_pos>30%:Q1_n=3_share=50.6%;Q4_n=4_share=47.0%|oos_small_n_pos>30%:Q2_n=3_share=54.2%","IS_clusters=0(0);OOS_clusters=1(2);likely_reentry_after_exit_same_side_le6h"
combo,20,5,1,5,0.003,2.5,true,80,15,42.8571,0.500000,0.378603,50.5502,1,3,5,3,4,1.260704,-0.436292,0.060406,1.172856,0,true,16,43.7500,0.531250,0.412593,54.1677,2,6,3,1,6,-1.118646,2.403845,2.419749,0.613678,1,true,true,true,false,false,false,false,false,false,"is_wr_not_above_baseline|is_concentration>50%|oos_concentration>50%|is_small_n_pos>30%:Q1_n=3_share=50.6%;Q4_n=4_share=47.0%|oos_small_n_pos>30%:Q2_n=3_share=54.2%","IS_clusters=0(0);OOS_clusters=1(2);likely_reentry_after_exit_same_side_le6h"
combo,20,5,1.5,10,0.003,2.5,false,80,43,43.5897,0.525641,0.420303,33.1403,1,10,8,13,12,0.679037,0.641133,0.062912,0.461411,1,false,33,41.9355,0.467742,0.375410,71.5711,4,10,3,5,15,-0.746270,1.255950,0.332438,1.051567,3,false,true,true,false,true,false,true,true,false,"is_wr_not_above_baseline|oos_concentration>50%","IS_clusters=1(2);OOS_clusters=3(6);likely_reentry_after_exit_same_side_le6h"
combo,20,5,1.5,5,0.003,2.5,false,80,43,43.5897,0.525641,0.420303,33.1403,1,10,8,13,12,0.679037,0.641133,0.062912,0.461411,1,false,33,41.9355,0.467742,0.375410,71.5711,4,10,3,5,15,-0.746270,1.255950,0.332438,1.051567,3,false,true,true,false,true,false,true,true,false,"is_wr_not_above_baseline|oos_concentration>50%","IS_clusters=1(2);OOS_clusters=3(6);likely_reentry_after_exit_same_side_le6h"
combo,20,3,1,10,0.005,1.5,true,80,11,63.6364,0.590909,0.458792,47.7539,4,2,3,2,4,1.420002,-0.328996,0.156186,0.720331,0,true,10,60.0000,0.500000,0.368802,75.3983,4,4,1,0,5,-0.511444,1.410613,,0.864636,0,false,true,true,true,true,false,false,true,false,"oos_concentration>50%|is_small_n_pos>30%:Q1_n=2_share=47.1%;Q4_n=4_share=47.8%",""
combo,20,3,1,10,0.005,1.5,true,40,11,63.6364,0.590909,0.458792,47.7539,4,2,3,2,4,1.420002,-0.328996,0.156186,0.720331,0,true,10,60.0000,0.500000,0.368802,75.3983,4,4,1,0,5,-0.511444,1.410613,,0.864636,0,false,true,true,true,true,false,false,true,false,"oos_concentration>50%|is_small_n_pos>30%:Q1_n=2_share=47.1%;Q4_n=4_share=47.8%",""
combo,20,3,1,5,0.005,1.5,true,80,11,63.6364,0.590909,0.458792,47.7539,4,2,3,2,4,1.420002,-0.328996,0.156186,0.720331,0,true,10,60.0000,0.500000,0.368802,75.3983,4,4,1,0,5,-0.511444,1.410613,,0.864636,0,false,true,true,true,true,false,false,true,false,"oos_concentration>50%|is_small_n_pos>30%:Q1_n=2_share=47.1%;Q4_n=4_share=47.8%",""
combo,20,3,1,5,0.005,1.5,true,40,11,63.6364,0.590909,0.458792,47.7539,4,2,3,2,4,1.420002,-0.328996,0.156186,0.720331,0,true,10,60.0000,0.500000,0.368802,75.3983,4,4,1,0,5,-0.511444,1.410613,,0.864636,0,false,true,true,true,true,false,false,true,false,"oos_concentration>50%|is_small_n_pos>30%:Q1_n=2_share=47.1%;Q4_n=4_share=47.8%",""
combo,20,3,1,10,0.003,2.5,true,80,7,42.8571,0.500000,0.351630,53.3179,3,0,3,2,2,,0.004338,0.656186,0.568011,0,true,9,55.5556,0.944444,0.808887,54.9539,4,3,1,1,4,-1.147723,2.410613,2.419749,1.473198,0,true,true,true,false,false,false,false,false,false,"is_wr_not_above_baseline|is_concentration>50%|oos_concentration>50%|is_small_n_pos>30%:Q3_n=2_share=53.3%;Q4_n=2_share=46.2%|oos_small_n_pos>30%:Q4_n=4_share=55.0%",""
combo,20,3,1,10,0.003,2.5,true,40,7,42.8571,0.500000,0.351630,53.3179,3,0,3,2,2,,0.004338,0.656186,0.568011,0,true,9,55.5556,0.944444,0.808887,54.9539,4,3,1,1,4,-1.147723,2.410613,2.419749,1.473198,0,true,true,true,false,false,false,false,false,false,"is_wr_not_above_baseline|is_concentration>50%|oos_concentration>50%|is_small_n_pos>30%:Q3_n=2_share=53.3%;Q4_n=2_share=46.2%|oos_small_n_pos>30%:Q4_n=4_share=55.0%",""
combo,20,3,1,5,0.003,2.5,true,80,7,42.8571,0.500000,0.351630,53.3179,3,0,3,2,2,,0.004338,0.656186,0.568011,0,true,9,55.5556,0.944444,0.808887,54.9539,4,3,1,1,4,-1.147723,2.410613,2.419749,1.473198,0,true,true,true,false,false,false,false,false,false,"is_wr_not_above_baseline|is_concentration>50%|oos_concentration>50%|is_small_n_pos>30%:Q3_n=2_share=53.3%;Q4_n=2_share=46.2%|oos_small_n_pos>30%:Q4_n=4_share=55.0%",""
combo,20,3,1,5,0.003,2.5,true,40,7,42.8571,0.500000,0.351630,53.3179,3,0,3,2,2,,0.004338,0.656186,0.568011,0,true,9,55.5556,0.944444,0.808887,54.9539,4,3,1,1,4,-1.147723,2.410613,2.419749,1.473198,0,true,true,true,false,false,false,false,false,false,"is_wr_not_above_baseline|is_concentration>50%|oos_concentration>50%|is_small_n_pos>30%:Q3_n=2_share=53.3%;Q4_n=2_share=46.2%|oos_small_n_pos>30%:Q4_n=4_share=55.0%",""
combo,20,5,1,10,0.005,2.5,true,80,25,41.6667,0.458333,0.347425,83.9827,1,5,8,3,9,1.724423,-0.241044,0.060406,0.182901,1,false,18,47.0588,0.647059,0.530345,54.0986,2,7,3,1,7,-0.616354,2.403845,2.436739,0.613678,1,true,true,true,false,false,false,true,false,false,"is_wr_not_above_baseline|is_concentration>50%|oos_concentration>50%|oos_small_n_pos>30%:Q2_n=3_share=54.1%","IS_clusters=1(2);OOS_clusters=1(2);likely_reentry_after_exit_same_side_le6h"
combo,20,5,1,5,0.005,2.5,true,80,25,41.6667,0.458333,0.347425,83.9827,1,5,8,3,9,1.724423,-0.241044,0.060406,0.182901,1,false,18,47.0588,0.647059,0.530345,54.0986,2,7,3,1,7,-0.616354,2.403845,2.436739,0.613678,1,true,true,true,false,false,false,true,false,false,"is_wr_not_above_baseline|is_concentration>50%|oos_concentration>50%|oos_small_n_pos>30%:Q2_n=3_share=54.1%","IS_clusters=1(2);OOS_clusters=1(2);likely_reentry_after_exit_same_side_le6h"
combo,20,5,1,10,0.003,2.5,true,40,15,41.6667,0.458333,0.330839,69.5231,4,3,5,3,4,0.680611,-0.272734,0.060406,1.172856,0,true,16,43.7500,0.531250,0.412593,54.1677,2,6,3,1,6,-1.118646,2.403845,2.419749,0.613678,1,true,true,true,false,false,false,false,false,false,"is_wr_not_above_baseline|is_concentration>50%|oos_concentration>50%|is_small_n_pos>30%:Q4_n=4_share=69.5%|oos_small_n_pos>30%:Q2_n=3_share=54.2%","IS_clusters=0(0);OOS_clusters=1(2);likely_reentry_after_exit_same_side_le6h"
combo,20,5,1,5,0.003,2.5,true,40,15,41.6667,0.458333,0.330839,69.5231,4,3,5,3,4,0.680611,-0.272734,0.060406,1.172856,0,true,16,43.7500,0.531250,0.412593,54.1677,2,6,3,1,6,-1.118646,2.403845,2.419749,0.613678,1,true,true,true,false,false,false,false,false,false,"is_wr_not_above_baseline|is_concentration>50%|oos_concentration>50%|is_small_n_pos>30%:Q4_n=4_share=69.5%|oos_small_n_pos>30%:Q2_n=3_share=54.2%","IS_clusters=0(0);OOS_clusters=1(2);likely_reentry_after_exit_same_side_le6h"
combo,15,5,1,10,0.003,2.5,true,80,18,41.1765,0.441176,0.323902,54.8639,4,4,6,4,4,0.669176,0.036332,-0.226733,1.172856,0,true,16,43.7500,0.531250,0.418039,72.2907,2,6,4,0,6,-1.115764,2.418705,,0.618064,0,true,true,true,false,false,false,false,false,false,"is_wr_not_above_baseline|is_concentration>50%|oos_concentration>50%|is_small_n_pos>30%:Q1_n=4_share=41.7%;Q4_n=4_share=54.9%|oos_small_n_pos>30%:Q2_n=4_share=72.3%",""
combo,15,5,1,5,0.003,2.5,true,80,18,41.1765,0.441176,0.323902,54.8639,4,4,6,4,4,0.669176,0.036332,-0.226733,1.172856,0,true,16,43.7500,0.531250,0.418039,72.2907,2,6,4,0,6,-1.115764,2.418705,,0.618064,0,true,true,true,false,false,false,false,false,false,"is_wr_not_above_baseline|is_concentration>50%|oos_concentration>50%|is_small_n_pos>30%:Q1_n=4_share=41.7%;Q4_n=4_share=54.9%|oos_small_n_pos>30%:Q2_n=4_share=72.3%",""
combo,20,5,1.5,10,0.005,2.5,true,40,25,40.0000,0.400000,0.306330,49.8113,1,5,8,3,9,1.276447,-0.515458,0.671664,0.628757,1,false,18,42.8571,0.500000,0.401858,43.4767,2,7,3,1,7,-1.102528,2.421358,2.448014,0.641321,1,true,true,true,false,true,true,true,false,false,"is_wr_not_above_baseline|oos_small_n_pos>30%:Q2_n=3_share=43.5%","IS_clusters=1(2);OOS_clusters=1(2);likely_reentry_after_exit_same_side_le6h"
combo,20,5,1.5,5,0.005,2.5,true,40,25,40.0000,0.400000,0.306330,49.8113,1,5,8,3,9,1.276447,-0.515458,0.671664,0.628757,1,false,18,42.8571,0.500000,0.401858,43.4767,2,7,3,1,7,-1.102528,2.421358,2.448014,0.641321,1,true,true,true,false,true,true,true,false,false,"is_wr_not_above_baseline|oos_small_n_pos>30%:Q2_n=3_share=43.5%","IS_clusters=1(2);OOS_clusters=1(2);likely_reentry_after_exit_same_side_le6h"
combo,20,5,1,10,0.003,2.5,false,80,43,41.0256,0.435897,0.302798,39.6622,4,10,8,13,12,0.226906,0.176417,0.324897,0.425795,1,false,33,45.1613,0.580645,0.464892,44.3868,4,10,3,5,15,-0.769622,2.403845,1.016675,0.754844,3,true,true,true,false,true,true,true,false,false,"is_wr_not_above_baseline|oos_small_n_pos>30%:Q2_n=3_share=32.6%","IS_clusters=1(2);OOS_clusters=3(6);likely_reentry_after_exit_same_side_le6h"
combo,20,5,1,5,0.003,2.5,false,80,43,41.0256,0.435897,0.302798,39.6622,4,10,8,13,12,0.226906,0.176417,0.324897,0.425795,1,false,33,45.1613,0.580645,0.464892,44.3868,4,10,3,5,15,-0.769622,2.403845,1.016675,0.754844,3,true,true,true,false,true,true,true,false,false,"is_wr_not_above_baseline|oos_small_n_pos>30%:Q2_n=3_share=32.6%","IS_clusters=1(2);OOS_clusters=3(6);likely_reentry_after_exit_same_side_le6h"
combo,15,5,1,10,0.003,2.5,true,40,18,40.0000,0.400000,0.278398,69.2236,4,4,6,4,4,0.085271,0.261704,-0.226733,1.172856,0,true,16,43.7500,0.531250,0.418039,72.2907,2,6,4,0,6,-1.115764,2.418705,,0.618064,0,true,true,true,false,false,false,false,false,false,"is_wr_not_above_baseline|is_concentration>50%|oos_concentration>50%|is_small_n_pos>30%:Q4_n=4_share=69.2%|oos_small_n_pos>30%:Q2_n=4_share=72.3%",""
combo,15,5,1,5,0.003,2.5,true,40,18,40.0000,0.400000,0.278398,69.2236,4,4,6,4,4,0.085271,0.261704,-0.226733,1.172856,0,true,16,43.7500,0.531250,0.418039,72.2907,2,6,4,0,6,-1.115764,2.418705,,0.618064,0,true,true,true,false,false,false,false,false,false,"is_wr_not_above_baseline|is_concentration>50%|oos_concentration>50%|is_small_n_pos>30%:Q4_n=4_share=69.2%|oos_small_n_pos>30%:Q2_n=4_share=72.3%",""
ofat,20,5,1,10,0.005,2.5,false,80,55,40.0000,0.400000,0.276149,48.2004,1,12,11,15,17,0.665525,0.151313,0.219952,0.164274,3,false,35,46.8750,0.640625,0.526595,47.0777,4,12,3,5,15,-0.534424,2.403845,1.020073,0.912685,2,true,true,true,false,true,true,true,false,false,"is_wr_not_above_baseline|oos_small_n_pos>30%:Q2_n=3_share=31.0%","IS_clusters=3(6);OOS_clusters=2(4);likely_reentry_after_exit_same_side_le6h"
