slice,start_iso,end_iso,n_active,n_decided,wins,losses,both,timeout,wr_pct,e_r_before,e_r_after,sign,long_n,short_n
FULL_365d,2025-08-08T04:32:23.655Z,2026-08-08T04:32:23.655Z,46,46,23,23,0,0,50.00,0.2500,0.1463,positive,12,34
Q1,2025-08-08T04:32:23.655Z,2025-11-07T04:32:23.655Z,10,10,4,6,0,0,40.00,0.0000,-0.0976,negative,3,7
Q2,2025-11-07T04:32:23.655Z,2026-02-06T04:32:23.655Z,13,13,7,6,0,0,53.85,0.3462,0.2519,positive,4,9
Q3,2026-02-06T04:32:23.655Z,2026-05-08T04:32:23.655Z,11,11,8,3,0,0,72.73,0.8182,0.7072,positive,1,10
Q4,2026-05-08T04:32:23.655Z,2026-08-08T04:32:23.655Z,12,12,4,8,0,0,33.33,-0.1667,-0.2791,negative,4,8
H1,2025-08-08T04:32:23.655Z,2026-02-06T16:32:23.655Z,23,23,11,12,0,0,47.83,0.1957,0.0999,positive,7,16
H2,2026-02-06T16:32:23.655Z,2026-08-08T04:32:23.655Z,23,23,12,11,0,0,52.17,0.3043,0.1926,positive,5,18
