active_open_time,active_iso,breakout_open_time,quarter,half,side,entry,sl,tp1,outcome,bars_held,sl_dist_pct,tp1_rr,gross_r,fee_r,net_r,net_pnl_pct,range_high,range_low
1724166000000,2024-08-20T15:00:00.000Z,1724162400000,1,H1,SHORT,142.074,144.08610273075817,139.65947672309022,SL,4,1.4162357157243115,1.2,-1,0.1270974866694008,-1.1270974866694008,-1.5962357157243114,148.778,142.5
1726804800000,2024-09-20T04:00:00.000Z,1726801200000,1,H1,LONG,148.075,142.50294009230782,154.7614718892306,SL,60,3.7629984181611786,1.2,-1,0.04783419496837273,-1.0478341949683727,-3.942998418161179,144,137.956
1727164800000,2024-09-24T08:00:00.000Z,1727161200000,1,H1,LONG,148.211,145.3285768650761,151.66990776190872,SL,6,1.9448105302062095,1.2,-1,0.09255400318143818,-1.0925540031814382,-2.1248105302062097,146.895,142.303
1729461600000,2024-10-20T22:00:00.000Z,1729458000000,1,H1,LONG,166.69,161.89819746215647,172.44016304541222,SL,15,2.8746790676366447,1.2,-1,0.06261568535648158,-1.0626156853564817,-3.054679067636645,163.28,157.54
1729710000000,2024-10-23T19:00:00.000Z,1729706400000,1,H1,LONG,173.02,167.181510676776,180.0261871878688,SL,46,3.374459208891455,1.2,-1,0.05334188053769121,-1.0533418805376913,-3.5544592088914553,169.5,164.1
1730289600000,2024-10-30T12:00:00.000Z,1730286000000,1,H1,SHORT,175.48,178.0064745591118,172.4482305290658,TP,6,1.4397507175244009,1.2,1.2,0.12502164285043973,1.0749783571495601,1.5477008610292875,183.34,176.31
1730995200000,2024-11-07T16:00:00.000Z,1730991600000,2,H1,LONG,193.95,189.4939286273408,199.29728564719102,TP,8,2.297536155018913,1.2,1.2,0.07834479540476187,1.1216552045952382,2.577043386022701,192.08,185.8
1732446000000,2024-11-24T11:00:00.000Z,1732442400000,2,H1,SHORT,248.62,255.64727540030904,240.18726951962915,SL,22,2.8265125091742567,1.2,-1,0.06368271833779557,-1.0636827183377955,-3.006512509174257,263.83,252.84
1733011200000,2024-12-01T00:00:00.000Z,1733007600000,2,H1,SHORT,237.68,240.04435183068028,234.84277780318368,TP,2,0.9947626349210188,1.2,1.2,0.1809476891080569,1.0190523108919431,1.0137151619052203,245.59,238
1733018400000,2024-12-01T02:00:00.000Z,1733014800000,2,H1,SHORT,234.67,239.46140540502535,228.92031351396955,SL,13,2.0417630736887364,1.2,-1,0.08815910245394158,-1.0881591024539417,-2.2217630736887366,245.59,237.28
