slice,start_iso,end_iso,n_active,n_decided,wins,losses,both,timeout,wr_pct,e_r_before,e_r_after,sign,long_n,short_n
FULL_365d,2025-08-08T04:32:23.655Z,2026-08-08T04:32:23.655Z,40,40,19,21,0,0,47.50,0.1875,0.0836,positive,11,29
Q1,2025-08-08T04:32:23.655Z,2025-11-07T04:32:23.655Z,10,10,4,6,0,0,40.00,0.0000,-0.0976,negative,3,7
Q2,2025-11-07T04:32:23.655Z,2026-02-06T04:32:23.655Z,11,11,6,5,0,0,54.55,0.3636,0.2645,positive,3,8
Q3,2026-02-06T04:32:23.655Z,2026-05-08T04:32:23.655Z,8,8,5,3,0,0,62.50,0.5625,0.4570,positive,1,7
Q4,2026-05-08T04:32:23.655Z,2026-08-08T04:32:23.655Z,11,11,4,7,0,0,36.36,-0.0909,-0.2040,negative,4,7
H1,2025-08-08T04:32:23.655Z,2026-02-06T16:32:23.655Z,21,21,10,11,0,0,47.62,0.1905,0.0921,positive,6,15
H2,2026-02-06T16:32:23.655Z,2026-08-08T04:32:23.655Z,19,19,9,10,0,0,47.37,0.1842,0.0743,positive,5,14
