timestamp,timestamp_iso,symbol,oi,ls_top_ratio,ls_global_ratio,funding_rate,source,status,error,collected_at
1785621600000,2026-08-01T22:00:00.000Z,NEARUSDT,42706932,1.1839,,,forward_archive,partial,missing:funding,1785657833878
1785625200000,2026-08-01T23:00:00.000Z,NEARUSDT,42680814,1.1915,,,forward_archive,partial,missing:funding,1785657833878
1785628800000,2026-08-02T00:00:00.000Z,NEARUSDT,42614547,1.2022,,,api_heal_24h,partial,missing:funding,1785657833878
1785632400000,2026-08-02T01:00:00.000Z,NEARUSDT,42452831,1.1825,,,forward_archive,partial,missing:funding,1785657833878
1785636000000,2026-08-02T02:00:00.000Z,NEARUSDT,43302075,1.1825,,,api_heal_24h,partial,missing:funding,1785657833878
1785639600000,2026-08-02T03:00:00.000Z,NEARUSDT,43324863,1.182,,,api_heal_24h,partial,missing:funding,1785657833878
1785643200000,2026-08-02T04:00:00.000Z,NEARUSDT,43255861,1.172,,,api_heal_24h,partial,missing:funding,1785657833878
1785646800000,2026-08-02T05:00:00.000Z,NEARUSDT,42864443,1.173,,,forward_archive,partial,missing:funding,1785657833878
1785650400000,2026-08-02T06:00:00.000Z,NEARUSDT,42733478,1.1575,,,api_heal_24h,partial,missing:funding,1785657833878
1785654000000,2026-08-02T07:00:00.000Z,NEARUSDT,42738592,1.1589,,,api_heal_24h,partial,missing:funding,1785657833878
1785657600000,2026-08-02T08:00:00.000Z,NEARUSDT,42754394,1.1692,,0.0001,forward_archive,ok,,1785657833878
1785664800000,2026-08-02T10:00:00.000Z,NEARUSDT,,,,,forward_archive,error,missing:oi|ls|funding;oi:Service unavailable from a restricted location according to 'b. Eligibility' in https://www.binance.com/en/terms. Please contact customer service if you believe you received this message in error.;ls:Service unavailable from a restricted location according to 'b. Eligibility' in https://www.binance.com/en/terms. Please contact customer service if you believe you received this message in error.;funding:Service unavailable from a restricted location according to 'b. Eligibility' in https://www.binance.com/en/terms. Please contact customer service if you believe you received this message in error.,1785666271045
1785668400000,2026-08-02T11:00:00.000Z,NEARUSDT,,,,,forward_archive,error,missing:oi|ls|funding;oi:Service unavailable from a restricted location according to 'b. Eligibility' in https://www.binance.com/en/terms. Please contact customer service if you believe you received this message in error.;ls:Service unavailable from a restricted location according to 'b. Eligibility' in https://www.binance.com/en/terms. Please contact customer service if you believe you received this message in error.;funding:Service unavailable from a restricted location according to 'b. Eligibility' in https://www.binance.com/en/terms. Please contact customer service if you believe you received this message in error.,1785671602636
1785672000000,2026-08-02T12:00:00.000Z,NEARUSDT,,,,,forward_archive,error,missing:oi|ls|funding;oi:Service unavailable from a restricted location according to 'b. Eligibility' in https://www.binance.com/en/terms. Please contact customer service if you believe you received this message in error.;ls:Service unavailable from a restricted location according to 'b. Eligibility' in https://www.binance.com/en/terms. Please contact customer service if you believe you received this message in error.;funding:Service unavailable from a restricted location according to 'b. Eligibility' in https://www.binance.com/en/terms. Please contact customer service if you believe you received this message in error.,1785675407016
1785679200000,2026-08-02T14:00:00.000Z,NEARUSDT,,,,,forward_archive,error,missing:oi|ls|funding;oi:Service unavailable from a restricted location according to 'b. Eligibility' in https://www.binance.com/en/terms. Please contact customer service if you believe you received this message in error.;ls:Service unavailable from a restricted location according to 'b. Eligibility' in https://www.binance.com/en/terms. Please contact customer service if you believe you received this message in error.;funding:Service unavailable from a restricted location according to 'b. Eligibility' in https://www.binance.com/en/terms. Please contact customer service if you believe you received this message in error.,1785680726288
1785682800000,2026-08-02T15:00:00.000Z,NEARUSDT,,,,,forward_archive,error,missing:oi|ls|funding;oi:Service unavailable from a restricted location according to 'b. Eligibility' in https://www.binance.com/en/terms. Please contact customer service if you believe you received this message in error.;ls:Service unavailable from a restricted location according to 'b. Eligibility' in https://www.binance.com/en/terms. Please contact customer service if you believe you received this message in error.;funding:Service unavailable from a restricted location according to 'b. Eligibility' in https://www.binance.com/en/terms. Please contact customer service if you believe you received this message in error.,1785685960819
1785686400000,2026-08-02T16:00:00.000Z,NEARUSDT,,,,,forward_archive,error,missing:oi|ls|funding;oi:Service unavailable from a restricted location according to 'b. Eligibility' in https://www.binance.com/en/terms. Please contact customer service if you believe you received this message in error.;ls:Service unavailable from a restricted location according to 'b. Eligibility' in https://www.binance.com/en/terms. Please contact customer service if you believe you received this message in error.;funding:Service unavailable from a restricted location according to 'b. Eligibility' in https://www.binance.com/en/terms. Please contact customer service if you believe you received this message in error.,1785689109325
1785690000000,2026-08-02T17:00:00.000Z,NEARUSDT,,,,,forward_archive,error,missing:oi|ls|funding;oi:Service unavailable from a restricted location according to 'b. Eligibility' in https://www.binance.com/en/terms. Please contact customer service if you believe you received this message in error.;ls:Service unavailable from a restricted location according to 'b. Eligibility' in https://www.binance.com/en/terms. Please contact customer service if you believe you received this message in error.;funding:Service unavailable from a restricted location according to 'b. Eligibility' in https://www.binance.com/en/terms. Please contact customer service if you believe you received this message in error.,1785693170627
1785693600000,2026-08-02T18:00:00.000Z,NEARUSDT,,,,,forward_archive,error,missing:oi|ls|funding;oi:Service unavailable from a restricted location according to 'b. Eligibility' in https://www.binance.com/en/terms. Please contact customer service if you believe you received this message in error.;ls:Service unavailable from a restricted location according to 'b. Eligibility' in https://www.binance.com/en/terms. Please contact customer service if you believe you received this message in error.;funding:Service unavailable from a restricted location according to 'b. Eligibility' in https://www.binance.com/en/terms. Please contact customer service if you believe you received this message in error.,1785696806818
